"Row.names","logFC","logCPM","LR","PValue","FDR","A","A-tissue","B","B-tissue"
"MTRNR2L1",8.90080326070288,14.1182336759176,29.7250502296305,4.97872874250561e-08,0.000404222986604031,49.9824745508296,142.332397467093,2663.38312453004,7174.19755262846
"LRP11",16.8091641897926,9.20687594743283,24.2122874832133,8.62800589686565e-07,0.00350253899383261,0,4226.17734017676,102.207591208771,628.143228341166
"PTDSS1",-16.4496562567876,8.86856509580808,18.9253733031126,1.35932649339807e-05,0.0344239599985686,3099.99523102704,7187.78607208819,0,1050.46931377906
"TAF3",12.7380248081213,9.22056259707586,18.5034498020972,1.6959704396388e-05,0.0344239599985686,0.326516011360452,1231.7226703883,86.7405808059219,216.508942534615
"RHNO1",-15.6009621909203,8.00578618323118,17.8789369582765,2.35412219750942e-05,0.038226236243158,1663.9907216633,2326.58726628902,0,382.231836820369
"CD52",-15.3202614638352,7.7109370151606,16.9149579790511,3.90923166471557e-05,0.050642146140287,1358.69825104128,635.021465622414,0,136.320445299572
"ICT1",15.8781285062833,8.26984961137511,16.2286937836064,5.61373710139898e-05,0.050642146140287,0,1270.04293124483,44.2319014850532,277.986790414814
"NOMO1",11.4644170789857,7.96778191917196,16.5845847657355,4.65276711675615e-05,0.050642146140287,0.326516011360452,1992.6535645393,50.9654603870875,424.999035345725
"ZNF280D",16.5095112655368,8.91042626283527,16.3345333059074,5.30876561948418e-05,0.050642146140287,0,3875.82066948853,68.1656577822818,665.564527050852
"E2F5",16.2512240567754,8.63690841415208,15.5827946333481,7.89699149261574e-05,0.0520704859676543,0,689.76469541745,56.9940638679634,203.144192995441
"HINFP",15.6186406592969,8.03547004966214,15.5248884402711,8.14260925847555e-05,0.0520704859676543,0,2638.62367612072,36.9893003456857,892.765269216805
"LIMK1",-15.4208783664368,7.8195895528973,15.209833513124,9.62011688034013e-05,0.0520704859676543,1518.32556241155,1368.58074487589,0,253.930241244301
"MBTPS1",-15.3858004829212,7.96392524785884,15.8650421447696,6.80236783193984e-05,0.0520704859676543,1477.53717057695,17014.1958202971,0,3196.84808977036
"RAB3IP",15.5086404288257,7.94584927347684,15.2446713813562,9.44428351405593e-05,0.0520704859676543,0,5014.47984922527,34.2910763918037,1005.02916534586
"UPF2",8.17859931996395,9.47383545613681,15.2608693520504,9.36363420246963e-05,0.0520704859676543,8.21511945491805,7806.38456877209,120.403633865261,1598.42404488518
"ACP2",10.905884886124,8.30948479031653,14.8235313301854,0.000118053250113293,0.0532485743149904,0.653032022720904,5211.5554764874,45.8316457767391,1189.46270898646
"AGO4",-14.7012758082107,7.15081054014048,14.8908340939967,0.000113915140151481,0.0532485743149904,866.939028346986,2233.52377563746,0,932.859517834327
"DTX4",7.37565914359761,10.9831248938929,14.8300960071823,0.000117643047845629,0.0532485743149904,18.3761339920789,18678.3900060662,302.467788441219,4306.12230152178
"ALS2",15.8360757585775,8.23585403939447,14.5634234412898,0.000135519720460822,0.0550142305210706,0,1937.91033474426,42.7455479009726,489.149833133759
"PTPRA",-14.9912650114539,7.49784840856651,14.5666798683286,0.000135285710320286,0.0550142305210706,1121.63471819406,8310.02228288642,0,1411.31755133675
"LGALS8",14.6521622524512,7.17292259738552,14.4019278474343,0.000147651073568191,0.057084717442864,0,6716.99429585088,20.8091324454879,1464.77654949344
"CENPT",9.5643849853797,9.33411145449601,14.1369872388197,0.000169968710340799,0.0599989547503019,0.0522191709067563,1921.48736580575,102.734073750494,2525.93766290384
"ICK",-10.1392211340224,8.47319781235147,14.2033575096723,0.000164077489648147,0.0599989547503019,2334.99432599495,5665.9242837862,0.255584763011602,1192.1356588943
"ZNF829",11.6877554158549,10.1166953841809,13.9873144083061,0.00018404820924124,0.0622619754512345,0.0261095854533781,366.779639626739,159.384562328433,42.767198525356
"MYCL",-14.4365711694966,6.86799278990335,13.9039510277628,0.000192393606901725,0.0624817477774043,719.954604063876,1965.28194964178,0,400.942486175212
"ZNF677",-14.7900773740663,7.18408641842585,13.809368065779,0.000202324887593655,0.0631798370143416,974.375997070495,536.48365199135,0,109.590946221225
"SST",14.9839302248962,7.47413293254636,13.5893988295493,0.000227466464139305,0.0659571507981078,0,6558.23892944528,23.7964235559092,1432.70115059942
"ST7L",15.491089204593,7.88208334853292,13.64550096395,0.00022076967779344,0.0659571507981078,0,832.097092884543,33.6567935300017,227.200742165953
"DDX60L",9.21112316285413,9.03013846279363,13.0951785016606,0.000296056789358494,0.0706966197882827,0.0522191709067563,7948.71696623919,83.4631289288026,3191.50218995469
"EVI5",13.8438671554217,6.35521263092633,13.1538705287859,0.000286925936828688,0.0706966197882827,0,3268.17081876363,22.989685144022,836.633321152276
"MPZL2",7.41757577469849,9.43029242419972,13.1553376809121,0.000286701362377927,0.0706966197882827,7.31390017719683,15169.3489762044,113.09030023491,3640.55777447093
"MTMR9",-15.0639977681409,7.4790761432268,13.1473689245445,0.000287923262319271,0.0706966197882827,1188.51828135204,1669.66850874859,0,489.149833133759
"RP11-462G2.1",9.73455229269027,9.52918278812635,13.1884297431431,0.000281682820645301,0.0706966197882827,0.0522191709067563,54.7432297950357,107.829240048135,88.2073469585467
"SMARCC1",14.5064524206045,7.17732849517251,13.319638246014,0.000262640842905661,0.0706966197882827,0,14709.5058459261,17.4579094468961,2523.264712996
"ZNF148",8.10754402796271,8.8960386828252,12.9570956463405,0.000318711227620364,0.0739318987728495,1.38439280180194,7970.6142581572,83.7224813957423,1630.4994437792
