sample_id,6122_A5,6129_SE1,6168_B4,6122_P1_SE,6129_A5,6186_B4
PRPF4B,1,2671,78,1344,0,67
PRPSAP2,1,510,1,221,0,0
PRR15L,1,4781,104,2349,0,105
PRRG4,1,1150,17,463,1,2
PRSS3P4,1,0,0,0,0,0
PSENEN,1,212,242,91,25,22
PSG2,1,0,2,0,0,0
PSMB3,1,1056,2,388,2,59
PSMB6,1,833,1,373,1,7
PSMC2,1,1216,0,465,1,1
PSMC6,1,902,1,425,7,5
PSME2,1,1937,408,714,10,22
PSMG2,1,928,199,410,1,3
PTBP1,1,5609,1269,2780,40,314
PTCH1,1,336,0,137,6,0
PTENP1,1,5,1,2,0,0
PTHLH,1,0,0,0,0,0
PTP4A2P1,1,3,1,2,0,5
PTPN14,1,184,0,61,6,0
PTPRG,1,681,1,233,2,0
PTPRH,1,3362,179,2841,7,5
PTS,1,299,7,194,4,10
PVRL2,1,1437,5,960,0,28
QARS,1,6594,27,2314,9,25
R3HDM2,1,571,306,250,24,275
RAB17,1,981,42,530,0,19
RAB2B,1,325,4,168,2,0
RAB30-AS1,1,58,0,34,0,0
RAB35,1,1039,0,565,0,0
RAB9A,1,585,180,396,4,24
RABEPK,1,315,2,125,1,0
RABGAP1,1,1925,11,786,0,9
RABGGTB,1,1115,0,582,4,10
RAD17,1,651,0,270,2,33
RAD18,1,392,0,167,4,69
RAD51D,1,232,4,65,0,0
RAD52,1,284,0,230,0,0
RALA,1,2380,2090,1000,88,351
RALBP1,1,2413,26,899,0,39
RALYL,1,2,1,2,0,0
RANBP9,1,1004,69,464,3,12
RANP6,1,1,0,0,0,0
RAPGEF5,1,968,1,533,1,2
RARS,1,1665,0,695,1,21
RASA2-IT1,1,0,0,0,0,0
RASGRP1,1,109,3,64,0,0
RASSF7,1,1221,153,1029,7,85
RB1CC1,1,1395,0,692,9,72
RBBP8NL,1,103,0,51,0,0
RBM17,1,1760,1,784,2,12
RBM26,1,1304,2,658,1,0
RBM41,1,283,1,171,0,0
RC3H1,1,1006,227,556,9,163
RCE1,1,352,17,227,2,1
REPIN1,1,3417,20,1307,0,0
REPS2,1,711,486,248,0,3
RFTN2,1,6,0,12,0,21
RGR,1,0,1,0,0,0
RGS2,1,270,0,174,3,18
RHOT1,1,562,0,277,3,3
RILPL2,1,72,0,24,0,1
RIN2,1,1136,405,488,0,0
RMDN2,1,488,0,162,1,0
RMND5B,1,691,0,356,0,12
RN7SKP229,1,0,0,0,0,0
RN7SL387P,1,0,2,0,0,0
RN7SL718P,1,0,0,0,0,0
RNA5SP71,1,0,0,0,0,0
RNASE4,1,2255,359,835,20,76
RNASEH1,1,180,0,107,1,0
RND1,1,9,0,55,0,0
RNF135,1,371,3,167,8,3
RNF146,1,612,13,321,6,1
RNU6-356P,1,0,0,0,0,0
RNU6-450P,1,0,0,1,0,0
RNU6-868P,1,0,0,0,0,0
RNU6ATAC22P,1,0,0,0,0,0
RNU6ATAC30P,1,0,0,0,1,0
RNU7-128P,1,0,0,0,1,0
RP1-150O5.3,1,1,0,2,0,0
RP1-69M21.2,1,0,0,0,0,0
RP11-1029M24.1,1,1,0,0,0,0
RP11-102L12.2,1,2,0,1,0,0
RP11-109N23.5,1,1,3,0,1,3
RP11-112J1.1,1,0,4,0,0,0
RP11-115D19.3,1,0,0,0,0,0
RP11-117O7.2,1,0,0,0,0,0
RP11-118B18.1,1,0,0,0,1,0
RP11-119D9.1,1,16,1,17,0,150
RP11-1217F2.9,1,0,0,1,0,2
RP11-124B13.1,1,1,0,0,0,0
RP11-12N13.1,1,0,0,0,0,0
RP11-1348G14.1,1,1,1,0,1,2
RP11-149P14.1,1,0,0,0,0,0
RP11-151F5.2,1,1,1,0,0,0
RP11-156K13.1,1,0,0,0,0,0
RP11-159H22.1,1,0,0,0,0,1
RP11-159J3.1,1,3,0,35,0,1
RP11-162A23.5,1,0,0,0,0,4
RP11-167B3.3,1,1,0,0,0,1
RP11-172F4.2,1,2,1,1,0,1
RP11-187O7.1,1,1,0,0,0,0
RP11-188D8.1,1,3,8,4,0,0
RP11-189E14.5,1,0,0,0,0,0
RP11-192C21.3,1,0,0,0,0,0
RP11-197N18.7,1,0,0,0,0,0
RP11-19O2.2,1,0,0,0,0,0
RP11-200A13.2,1,0,0,0,0,0
RP11-204C16.4,1,0,0,1,0,1
RP11-211G3.2,1,1,1,0,3,0
RP11-235P11.1,1,0,0,0,0,0
RP11-272B17.2,1,0,0,0,0,0
RP11-272D12.1,1,0,0,0,0,0
RP11-277P12.20,1,13,1,23,2,21
RP11-288E14.2,1,1,1,0,0,0
RP11-28B23.1,1,0,0,0,0,69
RP11-291H24.1,1,0,0,0,0,0
RP11-296A18.3,1,0,1,0,0,0
RP11-2F9.3,1,1,0,0,0,1
RP11-330L19.1,1,1,0,0,0,1
RP11-330O11.3,1,2,0,0,0,0
RP11-332E4.1,1,9,7,9,1,5
RP11-336N8.3,1,1,1,0,0,0
RP11-346D6.4,1,0,0,0,0,0
RP11-347J14.7,1,0,0,0,0,0
RP11-355O1.7,1,0,2,0,0,1
RP11-365F18.1,1,2,9,0,0,0
RP11-367G18.2,1,3,9,0,2,3
RP11-367H5.8,1,0,1,0,0,1
RP11-370I10.2,1,0,0,0,0,0
RP11-373D23.2,1,2,0,0,2,3
RP11-37O16.4,1,0,0,0,0,0
RP11-389O22.4,1,0,0,1,0,0
RP11-390E23.3,1,0,0,0,0,0
RP11-3N2.8,1,0,0,0,0,1
RP11-3N2.9,1,0,3,0,2,1
RP11-400K9.1,1,0,0,0,0,0
RP11-403P13.1,1,0,0,0,0,2
RP11-411K7.1,1,0,0,1,0,0
RP11-417J1.3,1,0,0,0,0,2
RP11-420L9.4,1,0,0,0,0,0
RP11-423P10.2,1,15,0,16,1,0
RP11-425P5.1,1,0,0,1,0,0
RP11-426L16.3,1,3,0,7,0,0
RP11-430B1.1,1,0,0,2,1,0
RP11-433P17.3,1,0,3,2,1,1
RP11-439E19.10,1,5,0,9,0,0
RP11-43F13.3,1,1,0,0,0,0
RP11-446F3.2,1,0,0,0,0,0
RP11-453E17.3,1,4,0,1,0,0
RP11-454E5.4,1,4,0,2,0,0
RP11-458F8.3,1,0,1,0,1,0
RP11-463H24.1,1,0,0,0,0,0
RP11-467I20.3,1,0,1,0,0,0
RP11-468H14.1,1,0,0,0,0,0
RP11-471B22.3,1,17,0,6,0,0
RP11-473O4.4,1,0,0,0,0,0
RP11-480N24.4,1,0,0,1,0,0
RP11-486A14.2,1,1,0,4,0,0
RP11-486O12.2,1,19,3,28,0,3
RP11-487E1.2,1,1,0,0,0,0
RP11-503C24.4,1,3,0,0,0,0
RP11-510M2.2,1,1,0,1,0,0
RP11-529E10.7,1,0,0,0,0,0
RP11-531A21.2,1,0,1,0,0,577
RP11-537H15.3,1,5,0,1,0,0
RP11-53O19.3,1,146,0,39,0,0
RP11-540K16.1,1,0,0,1,0,0
RP11-54C4.1,1,6,0,0,0,0
RP11-554D14.4,1,2,0,1,0,0
RP11-556K13.1,1,1,0,1,1,0
RP11-567M16.6,1,66,0,53,11,0
RP11-567P17.1,1,1,0,1,1,1
RP11-56B16.5,1,0,7,0,0,0
RP11-583F2.1,1,1,0,1,0,0
RP11-608O8.2,1,1,0,1,0,0
RP11-618K16.4,1,0,0,0,0,0
RP11-61L19.3,1,5,659,4,0,2
RP11-631N16.2,1,27,2,22,0,0
RP11-63E9.1,1,0,0,0,1,0
RP11-646E18.4,1,0,0,0,0,0
RP11-64K12.10,1,15,0,6,0,0
RP11-659G9.3,1,0,1,1,0,0
RP11-665C16.8,1,0,1,1,0,0
RP11-666A8.7,1,0,0,0,0,0
RP11-680F8.3,1,2,0,6,0,1
RP11-6N17.4,1,27,2,14,0,0
RP11-705C15.3,1,36,0,11,0,0
RP11-713C19.2,1,8,0,3,3,1
RP11-73E17.2,1,43,0,17,0,0
RP11-777J24.1,1,0,0,0,0,1
RP11-820K3.2,1,0,0,0,0,0
RP11-848P1.9,1,25,20,34,0,184
RP11-851M3.1,1,0,8,0,0,4
RP11-881L2.1,1,0,0,1,0,0
RP11-91A18.1,1,0,0,0,0,0
RP11-91I20.3,1,0,0,0,0,0
RP11-93O17.2,1,0,0,0,0,0
RP11-950C14.3,1,1,0,3,0,1
RP13-516M14.1,1,20,0,24,0,0
RP13-585F24.1,1,0,1,1,0,0
RP3-368A4.5,1,95,0,88,0,0
RP3-370M22.8,1,2,0,0,0,0
RP3-375P9.2,1,3,1,0,0,0
RP3-522J7.6,1,0,0,0,0,0
RP4-605O3.4,1,12,0,9,0,0
RP4-641G12.3,1,0,0,0,0,0
RP4-682C21.5,1,0,0,0,0,0
RP4-706L14.2,1,1,0,0,0,0
RP4-765C7.2,1,1,1,112,0,7
RP5-1050D4.4,1,1,0,1,0,0
RP5-1096D14.6,1,0,0,0,0,0
RP5-1116H23.6,1,0,0,0,0,0
RP5-1170D6.1,1,0,0,0,0,0
RP5-837O21.3,1,0,0,0,0,15
RP5-837O21.6,1,0,0,0,0,0
RP5-890O3.9,1,40,0,50,0,0
RPL10,1,4251,130,1488,7,8
RPL12P11,1,0,0,0,0,0
RPL12P33,1,3,0,0,0,0
RPL13AP25,1,3,10,1,0,1
RPL17P41,1,0,0,0,0,0
RPL17P44,1,4,0,4,0,0
RPL21P1,1,3,1,1,0,0
RPL21P119,1,0,4,0,1,0
RPL21P12,1,0,1,0,0,0
RPL21P120,1,2,0,0,0,0
RPL21P123,1,1,3,0,0,4
RPL21P127,1,0,1,0,0,0
RPL21P17,1,1,0,0,0,0
RPL23AP81,1,1,0,1,0,0
RPL23P2,1,3,7,1,0,3
RPL29,1,2427,8,721,4,16
RPL31P28,1,0,3,0,1,0
RPL34P27,1,0,6,1,0,0
RPL37AP8,1,1,4,1,1,0
RPL37P2,1,1,2,1,0,1
RPL4,1,8585,292,2515,16,66
RPL5,1,10565,562,2976,23,141
RPL7A,1,4453,414,1220,9,56
RPL7P24,1,1,0,0,1,0
RPL7P51,1,0,0,0,0,0
RPL8P2,1,0,3,0,0,0
RPL9P3,1,1,6,0,0,0
RPL9P7,1,0,3,0,1,0
RPLP0,1,10068,742,3146,8,112
RPPH1,1,0,1,0,0,0
RPS15AP11,1,13,4,7,0,4
RPS15AP17,1,1,14,2,1,1
RPS15AP3,1,0,0,0,0,0
RPS15AP38,1,3,1,2,0,0
RPS20P24,1,0,9,1,0,1
RPS23P2,1,0,0,0,0,0
RPS24P17,1,0,0,0,1,1
RPS26P15,1,0,0,0,0,2
RPS26P55,1,0,0,0,0,0
RPS26P56,1,0,1,0,0,1
RPS3AP24,1,0,0,0,0,0
RPS3AP26,1,1,3,0,0,1
RPS3AP30,1,0,2,0,0,0
RPS3AP47,1,2,18,2,1,10
RPS3AP49,1,2,3,2,0,1
RPS3P6,1,2,0,2,0,0
RPS6KA1,1,4376,29,2241,7,62
RPS7P1,1,10,1,8,0,6
RRP36,1,456,0,217,0,0
RRP7A,1,581,0,215,1,0
RRS1,1,277,1,150,0,0
RTCA,1,900,1,456,2,4
RUFY2,1,273,1,141,0,3
RXRG,1,0,0,0,0,0
S100A9,1,19,2,48,188,109
SAMD15,1,8,0,1,0,0
SAMD4A,1,141,0,127,0,0
SARS,1,2337,9,966,4,31
SATB1,1,953,1,429,24,15
SBNO2,1,754,0,736,1,5
SC22CB-1E7.1,1,6,0,0,1,0
SCARB2,1,9146,1349,3804,25,255
SCARNA15,1,9,0,5,0,1
SCCPDH,1,1064,0,381,13,7
SCN3B,1,5,0,6,0,0
SCOC-AS1,1,12,0,4,0,0
SCRG1,1,1,0,2,0,0
SCUBE1,1,16,3,14,0,1
SEC24B,1,1394,326,647,11,2
SEC24C,1,3082,0,1532,3,0
SEC24D,1,1783,253,859,2,2
SEL1L3,1,5172,4,2082,20,46
SELENBP1,1,24666,1374,9816,32,96
SEMA3B,1,1608,10,1379,1,12
SENP1,1,408,1100,159,34,0
SEPP1,1,6563,2937,4112,11,76
SERF1A,1,0,0,0,0,0
SERPINH1,1,1101,0,401,2,0
SET,1,3033,240,987,4,41
SETBP1,1,228,0,60,0,0
SETD1A,1,522,0,239,0,0
SETD2,1,2405,78,1091,10,258
SETD7,1,1120,0,515,12,0
SFMBT1,1,721,0,279,0,2
SGK223,1,1193,0,486,0,34
SHMT2,1,824,1,247,0,0
SIGLEC14,1,5,0,2,1,0
SIK3,1,844,0,416,0,0
SIRPA,1,360,0,238,71,1
SIRT2,1,499,3,257,0,0
SIX3,1,0,0,0,0,0
SLC12A6,1,689,274,504,6,25
SLC12A7,1,1916,287,1303,5,45
SLC12A9,1,643,0,355,0,0
SLC15A4,1,313,0,130,3,2
SLC16A1-AS1,1,8,1,2,0,0
SLC1A1,1,2059,74,729,12,26
SLC24A2,1,1,0,0,0,0
SLC25A38,1,1117,11,478,6,4
SLC25A45,1,116,0,148,2,1
SLC27A5,1,24,1,6,0,0
SLC28A2,1,930,0,536,0,66
SLC29A4,1,214,2,135,0,0
SLC2A1,1,1068,8,1667,13,406
SLC2A1-AS1,1,1,1,3,2,1
SLC37A3,1,1509,1,651,0,0
SLC38A1,1,6773,1284,2996,3,1
SLC38A10,1,2186,0,1117,0,1
SLC38A2,1,2688,0,1583,7,3
SLC39A12,1,3,21,3,0,1
SLC39A9,1,2584,1584,1028,165,730
SLC41A2,1,1653,4,638,1,33
SLC5A12,1,71,0,19,0,0
SLC7A6,1,395,330,285,0,3
SLC8A1-AS1,1,0,3,0,0,0
SLCO1B1,1,0,5,0,0,1
SLPI,1,718,1,353,40,151
SLX4,1,158,0,110,0,0
SMURF2,1,536,1,338,20,151
SNAP23,1,1344,697,914,7,95
SNAP29,1,900,8,403,5,4
SNHG16,1,180,68,56,13,5
SNHG18,1,450,0,249,0,2
SNORA48,1,0,0,0,0,0
SNRPB,1,1409,55,580,5,7
SNRPD1,1,601,1,222,0,0
SNRPD3,1,1545,3219,571,83,834
SNX27,1,824,1,311,1,0
SOAT1,1,1281,1,466,19,249
SORBS3,1,1556,68,980,5,96
SORCS1,1,4,0,2,0,0
SOX11,1,0,2,0,0,2
SOX5,1,6,0,2,0,0
SP140,1,39,0,26,0,0
SP140L,1,330,0,233,0,183
SPAG7,1,590,7,263,13,96
SPATA17,1,15,0,6,0,1
SPATA5,1,166,0,39,0,1
SPCS2,1,405,3,134,0,1
SPDYA,1,7,0,7,0,0
SPECC1,1,1273,21,778,2,0
SPIN1,1,2018,2971,941,22,579
SPINK1,1,1152,225,612,6,63
SPP1,1,0,3,0,3,1
SPRR2E,1,0,2,0,32,0
SPRR2F,1,0,1,0,18,0
SPRY4,1,397,90,280,0,0
SQRDL,1,3156,178,1494,9,106
SRC,1,2879,28,1807,1,4
SRCAP,1,3141,28,1818,2,7
SRCIN1,1,67,0,19,0,0
SREBF2,1,6974,1486,3065,4,8
SRP19,1,203,1,82,1,0
SRPR,1,2749,186,1169,4,8
SRSF11,1,3380,98,2135,0,302
SRSF5,1,4643,79,3986,2,38
SSH1,1,1090,3,403,1,5
SSR1,1,3423,873,1265,113,254
ST6GALNAC3,1,118,0,21,2,0
STAMBP,1,1108,50,528,3,0
STARD4,1,818,1171,799,14,13
STAT1,1,3124,25,1181,33,105
STEAP3,1,667,0,271,0,0
STK11,1,930,9,525,1,1
STK11IP,1,511,1,386,0,0
STK3,1,251,0,91,10,31
STMN2,1,6,0,5,0,10
STOX2,1,0,0,2,0,0
STRIP1,1,893,53,490,0,7
STS,1,791,3,354,13,0
STX16-NPEPL1,1,8,14,13,0,0
STX5,1,721,178,334,5,8
STYX,1,480,623,209,15,102
SUCLG1,1,4413,6,1540,25,29
SULF2,1,2855,2,1137,1,13
SUMO2P18,1,0,1,0,0,0
SUSD4,1,7,0,1,0,0
SUZ12P1,1,57,3,35,0,0
SWAP70,1,477,10,280,0,26
SYK,1,1742,8,698,5,0
SYPL1,1,3383,1382,1015,6,12
SYT14,1,2,236,1,0,1
SZRD1,1,1957,247,851,3,24
TAF1,1,990,0,461,0,40
TAF13,1,559,5,282,6,2
TAF7L,1,0,0,0,0,0
TAF9,1,429,0,157,0,1
TBC1D15,1,856,24,378,10,22
TBC1D20,1,1176,8,606,2,184
TBC1D24,1,232,1,59,0,0
TBL1X,1,587,85,304,0,25
TCF25,1,1774,2,915,3,15
TCF4,1,44,6,21,0,1
TCTE1,1,0,0,0,0,0
TCTN2,1,129,0,40,0,0
TEFM,1,154,0,58,0,1
TET2,1,925,6,569,4,0
TEX15,1,0,0,1,1,0
TFAP2C,1,18,0,16,5,43
TFRC,1,7783,50,3242,7,22
TGM1,1,33,0,15,0,0
THAP10,1,86,143,38,0,101
TIMM9,1,217,0,74,0,0
TIMP2,1,993,653,633,122,310
TLK2P1,1,4,0,0,0,0
TM2D3,1,650,80,327,37,348
TM9SF2,1,12038,4982,4427,135,117
TMEM126B,1,577,2,280,10,7
TMEM14B,1,522,28,173,7,1
TMEM170A,1,1801,412,611,29,346
TMEM192,1,900,4,288,2,2
TMEM218,1,240,0,98,0,0
TMEM236,1,3595,22,1331,14,66
TMEM26,1,3,0,0,0,0
TMEM38B,1,802,47,262,54,138
TMEM50B,1,1327,55,572,33,9
TMEM63C,1,410,0,230,0,0
TMEM87B,1,4016,5,1791,6,15
TMPRSS11A,1,0,0,0,7,0
TMSB15B,1,0,0,0,0,0
TMSB4XP8,1,39,4,17,0,2
TMSB4Y,1,162,4,69,34,1
TNFRSF21,1,3910,3974,2678,278,760
TNFSF13B,1,17,1,15,0,0
TNNC1,1,84,0,32,0,0
TNS3,1,2927,2,1402,1,66
TOM1L1,1,1156,0,467,0,0
TOR1B,1,1685,20,610,4,0
TPRA1,1,414,0,201,0,0
TPRG1L,1,2882,15,1247,14,82
TPT1P1,1,4,4,1,2,0
TPT1P6,1,5,3,1,0,2
TRAF3IP2,1,1419,237,659,10,8
TRAPPC13,1,400,2,222,0,2
TRAPPC4,1,817,12,306,8,1
TRIM14,1,1880,102,843,3,5
TRIM25,1,2675,1,2223,12,34
TRIO,1,2165,70,1171,0,4
TRIQK,1,1247,1416,363,23,7
TRPM6,1,7821,95,3648,24,80
TSC22D4,1,630,20,440,0,36
TSNAX,1,626,1,264,28,339
TSPYL1,1,1841,806,637,27,152
TTC1,1,977,0,405,9,64
TTC17,1,1996,11,905,6,30
TTC6,1,30,0,13,0,0
TTL,1,395,162,194,1,1
TTLL5,1,564,0,176,0,3
TTLL8,1,0,0,0,0,0
TTLL9,1,0,0,1,0,0
TTTY14,1,41,0,31,0,0
TTYH1,1,2,2,5,4,1
TTYH3,1,746,7,351,10,48
TUBA4A,1,1684,4,724,2,6
TUBGCP6,1,752,27,548,0,0
TUG1,1,3089,1,1590,1,22
TWSG1,1,1136,0,370,1,8
TXNL1,1,1140,980,472,124,1762
U2AF2,1,2824,88,1518,6,8
UBAC2,1,1524,5,520,4,3
UBAP1,1,966,1398,472,20,65
UBBP1,1,0,0,2,0,0
UBE2A,1,2284,2270,1284,48,234
UBE2E1,1,1332,443,620,3,18
UBE2E3,1,553,388,202,9,66
UBE2F-SCLY,1,0,0,0,0,0
UBE2G1,1,1470,117,631,6,53
UBE2L6,1,379,189,109,7,14
UBE2V1P2,1,8,0,1,0,2
UBE2V2P1,1,0,0,0,0,0
UBE3D,1,79,0,26,0,0
UBR2,1,2399,514,1186,17,43
UBTFL9,1,0,1,0,0,0
UBXN1,1,887,2,456,5,11
UCK2,1,1981,13,809,2,11
UHRF2P1,1,0,0,0,0,0
ULK4,1,38,0,21,0,0
UNC5D,1,2,0,0,0,0
UPF3B,1,362,15,150,7,0
USP15,1,1265,1,720,7,48
USP19,1,1889,412,1006,1,2
USP25,1,1229,0,456,3,0
USP28,1,517,1,210,1,0
USP34,1,2278,6,1111,9,45
USP37,1,355,3,116,5,365
USP39,1,1143,0,352,6,290
USP45,1,358,1,201,0,2
USP9X,1,3909,867,2034,16,62
VAMP2,1,953,185,491,8,78
VAMP7,1,987,424,419,8,16
VBP1,1,959,35,375,50,13
VHL,1,1194,17,515,0,0
VIMP,1,2193,238,1254,14,36
VIPR1,1,3169,541,2660,18,37
VPS13D,1,2619,0,1371,1,0
VPS33B,1,354,416,192,4,18
VPS36,1,2557,287,1003,25,144
VRK3,1,1051,1,505,3,5
VTCN1,1,0,0,0,0,0
WASH2P,1,32,0,27,0,0
WBP5,1,868,1,258,2,0
WDR11,1,1835,0,730,0,60
WDR31,1,112,0,22,0,0
WDR36,1,1084,0,386,3,0
WDR66,1,6,3,1,0,0
WDR74,1,223,0,116,0,0
WDR82,1,2868,33,1118,2,97
WDR83OS,1,438,93,178,1,56
WNK2,1,3070,0,1975,0,0
WNT2B,1,81,75,77,2,0
XBP1,1,5038,179,1776,5,133
XPO1,1,3732,1,1409,30,9
XRCC4,1,168,0,70,0,0
XX-C2158C6.2,1,0,0,0,0,0
XXbac-B476C20.9,1,143,0,135,5,1
XXbac-BPG181B23.7,1,46,0,31,0,0
YBX1P2,1,6,0,1,0,0
YBX2,1,388,8,382,1,190
YES1,1,2756,520,988,21,122
YME1L1,1,4238,1678,1814,20,135
YOD1,1,348,28,210,7,52
YWHAZP5,1,1,0,0,0,0
YWHAZP6,1,23,0,9,0,0
Z95114.7,1,0,0,0,0,0
Z97634.3,1,2,1,6,0,0
ZBED9,1,76,0,26,0,0
ZDHHC18,1,682,0,506,0,24
ZFAND2B,1,843,0,486,1,20
ZFC3H1,1,1174,0,719,8,433
ZFYVE26,1,774,0,353,0,0
ZHX2,1,329,3,133,1,1
ZMYM6,1,267,114,152,0,0
ZMYND19,1,275,0,142,12,0
ZNF106,1,1923,135,918,12,15
ZNF233,1,35,1,6,0,0
ZNF271,1,666,0,226,4,1
ZNF304,1,153,0,53,5,0
ZNF318,1,673,1,292,1,102
ZNF33AP1,1,0,0,0,0,0
ZNF358,1,232,2216,109,2,17
ZNF396,1,65,0,35,0,0
ZNF468,1,804,0,355,0,8
ZNF493,1,461,1,137,0,0
ZNF503-AS1,1,176,0,44,0,2
ZNF519,1,38,0,7,0,1
ZNF530,1,47,0,13,0,0
ZNF547,1,21,0,12,0,0
ZNF555,1,59,0,19,0,0
ZNF570,1,108,0,34,0,0
ZNF600,1,376,0,143,0,2
ZNF608,1,518,1,240,0,0
ZNF618,1,104,1,43,0,0
ZNF644,1,1553,2,591,14,43
ZNF680,1,197,0,55,0,1
ZNF702P,1,280,0,114,0,0
ZNF720,1,358,6,163,1,0
ZNF75A,1,298,0,178,1,1
ZNF76,1,604,35,274,1,6
ZNF766,1,367,0,106,0,3
ZNF778,1,119,14,78,0,0
ZRSR1,1,0,0,0,0,0
ZSWIM1,1,270,2,118,3,1
ZSWIM6,1,957,146,548,35,281
5S_rRNA,0,0,0,0,0,0
5_8S_rRNA,0,0,0,0,0,0
7SK,0,0,0,0,0,0
A1BG,0,0,0,0,0,0
A1BG-AS1,0,1,0,0,0,0
A1CF,0,2530,53,1110,30,81
A2M,0,90,0,72,0,0
A2M-AS1,0,4,0,0,0,0
A2ML1-AS1,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0
A2MP1,0,0,0,1,0,0
A3GALT2,0,0,0,0,0,0
A4GALT,0,1,0,2,0,0
A4GNT,0,0,0,0,0,0
AA06,0,0,0,0,0,0
AAAS,0,627,0,245,1,0
AACS,0,1243,2,536,0,0
AACSP1,0,0,0,0,0,0
AADACL2,0,2,0,0,0,1
AADACL2-AS1,0,1,0,1,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,1,0
AADACP1,0,73,0,20,8,1
AADAT,0,121,0,41,0,0
AAED1,0,41,0,12,0,68
AAK1,0,264,2,302,0,7
AAMDC,0,117,22,33,1,0
AANAT,0,0,0,0,0,0
AAR2,0,670,0,260,1,0
AARD,0,0,0,1,0,0
AARS,0,1476,0,484,0,1
AARS2,0,639,0,185,1,0
AARSD1,0,19,0,26,0,0
AARSP1,0,0,0,0,0,0
AASDH,0,307,0,94,0,2
AASS,0,21,0,40,0,1
AATK,0,475,0,48,0,0
AATK-AS1,0,0,0,0,0,0
AB015752.3,0,0,0,0,0,0
AB019438.66,0,0,0,0,0,0
AB019440.50,0,0,0,0,0,0
ABBA01037345.1,0,0,0,0,0,0
ABBA01037346.1,0,0,0,0,0,0
ABBA01037349.1,0,0,0,0,0,0
ABC12-47043100G14.2,0,0,0,0,0,0
ABC12-47964100C23.1,0,0,0,0,0,0
ABC12-49244600F4.4,0,0,0,0,0,0
ABC13-48559800H2.1,0,0,0,0,0,0
ABC13-48559800H2.2,0,0,0,0,0,0
ABC7-42391500H16.2,0,0,0,0,0,0
ABC7-43041300I9.1,0,0,2,0,0,0
ABC7-481722F1.1,0,0,0,0,0,0
ABC9-43961700F1.1,0,0,0,0,0,0
ABCA10,0,103,0,126,0,1
ABCA11P,0,23,1,11,0,0
ABCA12,0,1,0,0,1,0
ABCA13,0,19,0,11,0,0
ABCA17P,0,1,1,0,0,0
ABCA2,0,1339,0,944,0,0
ABCA3,0,350,0,27,0,0
ABCA4,0,0,0,2,0,0
ABCA7,0,175,0,278,0,0
ABCA9,0,29,0,23,0,0
ABCA9-AS1,0,0,0,0,0,0
ABCB10,0,770,0,273,0,2
ABCB10P1,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0
ABCB11,0,96,0,68,0,0
ABCB4,0,17,0,7,0,0
ABCB5,0,0,0,0,0,0
ABCB6,0,17,0,8,0,0
ABCB7,0,602,0,224,0,0
ABCB8,0,507,0,266,0,0
ABCB9,0,81,2,70,1,6
ABCC1,0,334,0,231,0,0
ABCC10,0,406,0,248,0,0
ABCC11,0,5,0,1,0,0
ABCC12,0,0,0,0,0,0
ABCC2,0,27,0,22,0,0
ABCC4,0,665,0,185,0,0
ABCC5,0,581,10467,1185,18,458
ABCC5-AS1,0,0,0,0,0,0
ABCC6,0,548,0,149,0,0
ABCC6P1,0,50,0,36,0,0
ABCC6P2,0,11,0,12,0,0
ABCC8,0,38,0,18,0,0
ABCD1,0,209,0,100,1,111
ABCD1P2,0,0,0,0,0,0
ABCD1P3,0,0,0,0,0,0
ABCD1P4,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0
ABCD2,0,18,0,17,0,0
ABCE1,0,1130,0,417,0,0
ABCF1,0,2009,102,857,2,46
ABCF2,0,1057,1138,429,1,12
ABCF2P1,0,1,0,0,0,0
ABCF2P2,0,0,0,0,0,0
ABCF3,0,1083,0,534,0,0
ABCG4,0,0,0,0,0,0
ABCG5,0,4,1,0,0,0
ABHD1,0,0,0,2,0,0
ABHD10,0,549,0,237,0,118
ABHD12B,0,74,0,24,0,0
ABHD13,0,588,54,308,17,0
ABHD14A,0,74,0,33,0,0
ABHD14A-ACY1,0,5,0,2,0,0
ABHD14B,0,1750,6,562,2,4
ABHD15,0,470,0,187,2,0
ABHD15-AS1,0,0,0,0,0,0
ABHD16A,0,87,0,54,0,0
ABHD16B,0,0,0,0,0,0
ABHD17A,0,174,0,228,0,2
ABHD17AP2,0,1,0,1,0,0
ABHD17AP3,0,0,0,0,0,0
ABHD17AP4,0,0,0,0,0,0
ABHD17AP6,0,0,0,0,0,0
ABHD17AP9,0,0,0,0,0,0
ABHD4,0,527,1,283,3,3
ABHD6,0,645,1,231,1,0
ABHD8,0,22,0,15,0,0
ABI3,0,77,0,58,0,0
ABI3BP,0,38,1,49,0,0
ABLIM2,0,231,0,83,0,114
ABO,0,1286,0,452,0,0
ABR,0,5072,27,2885,1,1
ABRA,0,1,0,0,0,0
ABT1P1,0,0,0,0,0,0
ABTB2,0,592,1,511,0,0
AC000003.1,0,0,0,0,0,0
AC000029.1,0,0,0,0,0,0
AC000032.2,0,0,0,0,0,0
AC000036.4,0,0,0,0,0,0
AC000041.10,0,0,0,0,0,0
