sample_id,6122_A5,6129_SE1,6168_B4,6122_P1_SE,6129_A5,6186_B4
TMF1,178,2042,2158,1017,16,80
VDAC1,178,4038,7416,1477,173,1080
RYBP,177,1442,5736,733,25,1576
UBB,177,5655,465,2259,32,199
DSC2,176,11024,5260,7199,113,941
FAM50A,176,763,361,347,2,23
HSP90AA1,176,19239,4498,5592,216,2773
SMAD4,176,1650,587,726,22,538
ACTR2,175,10393,807,4369,47,324
STX3,175,4340,247,2357,21,347
ARPP19,174,2653,171,1004,45,54
FAM177A1,174,2413,2219,921,113,347
FIP1L1,174,688,0,288,0,0
NUP50,174,1371,822,548,8,360
CTNNA1,172,12927,3296,6529,104,245
CAPZA1,171,4037,5570,1875,68,337
FEM1C,171,1699,1579,1225,106,1247
GOT1,171,2603,2,930,0,5
RSBN1L,171,794,0,362,27,82
ABHD3,170,3682,788,2371,32,346
GNB1,170,8453,856,3607,28,120
IL15,170,103,0,131,1,1
AGFG1,169,1826,2,891,8,15
DYRK2,169,3885,1598,2735,38,1159
ATP5L,168,1744,919,672,90,227
GRN,168,9385,69,3702,15,21
MCUR1,168,1189,14,573,5,8
RP11-624M8.1,168,0,0,0,0,0
SLC25A37,168,522,105,378,10,144
ARRB2,167,484,5,225,16,4
FAM49B,167,903,844,442,31,240
MYO15B,167,8192,2490,14012,19,100
PFDN5,167,2029,774,720,63,94
PPM1B,167,2121,39,982,143,659
ARL14,166,753,1160,1134,11,64
C2CD5,166,1920,90,943,1,10
CHRAC1,166,685,354,239,16,106
TMA7,166,131,1144,56,3,9
MAST4,165,383,7,219,4,57
RPS8,165,8154,597,2888,52,473
XRN1,165,1665,19,1252,34,38
RPLP2,164,7890,10152,3155,151,1429
UBL3,163,3371,4006,1270,21,203
JTB,162,2404,2734,957,16,167
OSTC,162,1016,1479,385,37,137
RPL15,162,6492,1480,1985,71,490
CCDC88C,161,1559,12489,634,485,1613
CDH1,161,25167,20938,12104,601,3754
GALNT7,161,5915,155,2587,2,68
H2AFV,161,2293,16,974,16,42
TMEM120A,161,1117,3,572,10,2
TPI1,161,5513,158,1910,28,95
EEF1B2,160,2200,841,658,18,143
PEBP1,160,4204,2834,1343,80,71
C2orf69,159,711,648,274,6,68
SFN,159,2110,68,2700,37,1229
TFF3,159,12841,4416,5291,373,583
TPD52L2,159,1518,5,744,2,20
VPS4B,159,3574,1192,1755,34,361
WASL,159,5411,164,2427,89,698
CKB,158,29294,3178,17797,149,1223
HOXB7,158,499,9,234,11,0
CXCL14,157,27,234,8,29,72
ZNF462,157,279,107,137,1,12
HNRNPL,156,2074,1110,1017,79,240
PPCS,156,1398,1,618,37,179
C5orf30,155,2381,1863,1125,62,752
HNRNPK,155,9204,2316,3502,69,719
SH3GLB2,155,2037,48,1523,2,14
AMBRA1,154,753,48,343,37,6
GCA,154,748,338,235,64,837
PDZD8,154,2804,347,802,3,0
GOLPH3L,152,2750,4235,969,161,602
